Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.627,0.3256150506512301,0.44554455445544555,0.3762541806020067,0.6005655816417762
Logistic Regression,0.5615,0.2905405405405405,0.5108910891089109,0.3704235463029433,0.5755674028941355
